code,name,change_rate,current_price,change_value,buy_price,sell_price,total_volume,total_amount,current_volume,speed_1min,real_change_rate,avg_diff,turnover_rate,order_ratio,total_market_cap,circulating_market_cap,circulation_ratio,speed_4min,deviation_today,deviation_unusual,deviation_10d,deviation_30d,unusual_count_10d,inner_volume,outer_volume,inner_outer_ratio,remark,negative_factor,positive_factor,main_net_volume,volume_ratio,pe_ttm,net_profit,pb_ratio,eps,sub_industry,industry,prev_close,open_price,open_change_rate,auction_turnover,high_price,low_price,change_5d,change_10d,change_20d,ytd_change,amplitude,buy_volume,sell_volume,trade_count,contribution,institution_trend,unusual_type,total_shares,circulating_shares,total_profit,net_profit_growth,bvps,golden_cross_count,retail_count,self_select_time,self_select_price,self_select_profit,listing_date
300071,福石控股,0.13390000000000002,5.76,0.68,5.76,5.77,294756580.0,1690671700.0,100.0,0.0,0.0746,0.48,0.3118,-2.53,5551973800.0,5445221000.0,0.9808,0.0,,,,,,122006830.0,172749750.0,0.706,,,有,2.04,7.56,,-53688314.0,39.59,-0.057,广告营销,文化传媒,5.08,5.36,0.055099999999999996,0.004699999999999999,6.1,5.24,0.3333,0.3617,0.3211,0.2152,0.1693,802900.0,201316.0,122072.0,,7.52,,963884340.0,945350870.0,-63508279.0,-0.7959999999999999,0.15,0.0,360.14,,,,2010-04-21
300600,国瑞科技,0.12480000000000001,17.66,1.96,17.65,17.66,44320362.0,796809540.0,1100.0,-0.0006,0.09960000000000001,-2.03,0.1506,-85.81,5196180900.0,5196180900.0,1.0,-0.0006,,,,,,18077510.0,26242852.0,0.689,,,,1.67,2.64,,-37982127.0,4.25,-0.129,航海装备,军工装备,15.7,16.06,0.0229,0.0004,18.79,16.06,0.16570000000000001,0.1573,0.11560000000000001,1.3206,0.1739,23300.0,226400.0,57420.0,,16.59,,294234480.0,294234480.0,-47477894.0,-0.602,4.15,5.0,-233.47,,,,2017-01-25
688472,阿特斯,0.1219,17.39,1.89,17.39,17.4,218302840.0,3657528100.0,2600.0,0.0,0.09369999999999999,4.1,0.1567,68.47,64138099000.0,24219603000.0,0.3776,0.0,,,,,,108328685.0,109974155.0,0.985,,,,1.37,1.44,50.05,988933550.0,2.73,0.27,光伏电池组件,光伏设备,15.5,15.9,0.0258,0.0024,17.71,15.9,0.3502,0.436,0.3857,0.39490000000000003,0.1168,70790.0,35063.0,192041.0,0.36,9.46,,3688217300.0,1392731600.0,1006771270.0,-0.4941,6.37,1.0,-446.46,,,,2023-06-09
300813,泰林生物,0.1209,33.46,3.61,33.46,33.47,8556104.0,285431810.0,1000.0,0.0012,0.11019999999999999,0.33,0.1125,44.84,4055325900.0,2544668900.0,0.6275,0.0012,,,,,,3750607.0,4805497.0,0.781,,,,0.85,2.3,246.4,14723275.0,5.13,0.12,其他专用设备,专用设备,29.85,30.14,0.0097,0.0001,34.87,30.13,0.1176,0.08070000000000001,-0.0176,0.9601999999999999,0.1588,6200.0,13300.0,24238.0,,14.92,,121199219.0,76051073.0,15075608.0,0.3013,6.52,9.0,-236.72,,,,2020-01-14
300290,荣科科技,0.1204,29.69,3.19,29.69,29.7,70978817.0,2071923200.0,1000.0,-0.0003,0.0852,1.88,0.111,-55.07,18993660000.0,18988015000.0,0.9997,-0.0003,,,,,,33133282.0,37845535.0,0.876,,,,-0.23,1.96,,-31690062.0,24.47,-0.05,IT服务,IT服务,26.5,27.36,0.0325,0.0031,31.0,27.36,0.319,0.3588,0.09960000000000001,0.45899999999999996,0.1374,105495.0,300100.0,78160.0,,-2.18,,639732570.0,639542440.0,-23044846.0,-3.7880000000000003,1.21,3.0,-14.2,,,,2012-02-16
300390,天华新能,0.12,34.07,3.65,34.07,34.08,95353961.0,3248432800.0,400.0,0.0,0.0864,0.01,0.1418,-55.02,28303679000.0,22913321000.0,0.8096,0.0,,,,,,44799938.0,50554023.0,0.886,,,,-0.46,1.74,,32865591.0,2.59,0.04,电池化学品,电池,30.42,31.36,0.030899999999999997,0.0033,36.0,31.36,0.2847,0.44789999999999996,0.491,0.5176,0.1525,21803.0,6110.0,168627.0,0.92,-3.73,,830750790.0,672536570.0,26479500.0,-0.9643999999999999,13.13,0.0,141.26,,,,2014-07-31
300261,雅本化学,0.1198,8.13,0.87,8.13,8.14,107707548.0,861583440.0,10600.0,0.0,0.0797,1.8,0.1151,16.32,7831706000.0,7611088600.0,0.9718000000000001,0.0,,,,,,47752069.0,59955479.0,0.797,,,,1.43,7.72,,-6916422.0,3.9,-0.007,农药,农化制品,7.26,7.53,0.037200000000000004,0.0007000000000000001,8.66,7.49,0.1198,0.1532,0.1419,0.1869,0.1612,374000.0,46400.0,72692.0,,18.2,,963309470.0,936173260.0,-20206196.0,0.8781,2.08,5.0,-237.41,,,,2011-09-06
688031,星环科技U,0.11869999999999999,72.66,7.71,72.66,72.7,12821759.0,868332240.0,207405.0,-0.004699999999999999,0.11939999999999999,7.6,0.1364,98.61,8801735700.0,6828045000.0,0.7757999999999999,-0.004699999999999999,,,,,,6546014.0,6275745.0,1.04,,,,1.72,1.27,,-213226330.0,9.84,-1.76,横向通用软件,软件开发,64.95,64.91,-0.0006,0.0009,73.5,63.0,0.18359999999999999,0.4289,0.2108,0.5751,0.1617,351383.0,600.0,28952.0,0.05,15.7,,121135916.0,93972544.0,-213212490.0,0.2721,7.38,1.0,-541.96,,,,2022-10-18
301563,云汉芯城,0.11810000000000001,228.28,24.11,228.28,228.38,6137251.0,1335015340.0,100.0,0.001,0.1326,5.27,0.4399,81.26,14864703000.0,3184896400.0,0.2143,0.001,,,,,,2832256.0,3304995.0,0.857,,,,2.12,1.05,130.1,81460386.0,12.39,1.67,其他电子,其他电子,204.17,201.56,-0.0128,0.0034999999999999996,234.01,201.56,-0.048799999999999996,0.3893,,7.4548000000000005,0.1589,20319.0,100.0,33539.0,,6.31,,65116099.0,13951710.0,94627136.0,0.46740000000000004,18.43,1.0,-1154.19,,,,2025-09-30
300609,汇纳科技,0.11800000000000001,45.59,4.81,45.59,45.6,20331142.0,919568850.0,103800.0,0.0007000000000000001,0.0359,0.88,0.16949999999999998,12.62,5476014900.0,5467686500.0,0.9984999999999999,0.0007000000000000001,,,,,,9726192.0,10604950.0,0.917,,,,-0.14,2.92,,-35805193.0,5.49,-0.298,IT服务,IT服务,40.78,44.01,0.07919999999999999,0.0018,47.08,42.68,0.1199,0.247,0.1732,0.8502,0.1079,200.0,32500.0,53376.0,,-1.04,,120114387.0,119931707.0,-42338790.0,0.0767,8.3,1.0,362.07,,,,2017-02-15
300865,大宏立,0.11289999999999999,33.02,3.35,33.01,33.02,7349215.0,234628220.0,2100.0,0.0,0.1014,3.69,0.1306,-79.91,3159353600.0,1857422500.0,0.5879,0.0,,,,,,3013570.0,4335645.0,0.695,,,,1.57,2.56,,10421158.0,3.63,0.109,能源及重型设备,专用设备,29.67,29.98,0.0104,0.0002,33.92,29.71,0.0274,0.0812,0.114,0.4147,0.1419,800.0,23770.0,14881.0,,25.9,,95680000.0,56251438.0,12043404.0,-0.44689999999999996,9.09,8.0,-719.93,,,,2020-08-24
300816,艾可蓝,0.1125,43.82,4.43,43.8,43.82,6403801.0,269869310.0,90100.0,-0.0009,0.1054,4.26,0.113,-40.91,3505600000.0,2483216800.0,0.7084,-0.0009,,,,,,2621450.0,3782351.0,0.693,,,,0.25,2.38,48.42,74081547.0,3.86,0.937,其他汽车零部件,汽车零部件,39.39,39.64,0.0063,0.0001,44.5,39.1,0.1288,0.20600000000000002,0.18510000000000001,0.7178,0.1371,300.0,2900.0,20534.0,,4.43,,80000000.0,56668571.0,101428045.0,0.43670000000000003,11.35,6.0,-165.1,,,,2020-02-10
002554,惠博普,0.1015,3.69,0.34,3.69,,88559362.0,313949200.0,116000.0,0.0,0.095,4.33,0.0664,100.0,4921427100.0,4920506200.0,0.9998,0.0,,,,,,33651195.0,54908167.0,0.613,,,,1.69,1.27,,10526718.0,2.08,0.01,油服工程,油气开采及服务,3.35,3.37,0.006,0.0002,3.69,3.36,0.0917,0.1531,0.22190000000000001,0.47009999999999996,0.09849999999999999,22969063.0,0.0,30861.0,,34.88,,1333720070.0,1333470530.0,-19552497.0,1.137,1.78,5.0,-109.75,,,,2011-02-25
