.	代码	    名称	.	涨幅	现价	涨跌	买价	卖价	总手	总金额	现手	1分钟涨速	实体涨幅	现均差%	换手	委比%	总市值	流通市值	流通比例	4分钟涨速	当日偏离值	异动偏离值	10日内偏离值	30日内偏离值	10日异动次数	内盘	外盘	内外比	备注	利空	利好	主力净量	量比	TTM市盈率	净利润	市净率	每股盈利	细分行业	所属行业	昨收	开盘	开盘涨幅	竞价换手	最高	最低	5日涨幅	10日涨幅	20日涨幅	年初至今	振幅	买量	卖量	笔数	贡献度	机构动向	异动类型	总股本	流通股本	利润总额	净利润增长率	每股净资产	金叉个数	散户数量	自选时间	自选价格	自选收益	上市日期	
	SZ300071	福石控股	--	+13.39%	5.76	+0.68	5.76	5.77	294756580	1690671700	100↓	+0.00%	+7.46%	+0.48	31.18%	-2.53	5551973800	5445221000	98.08%	+0.00%	--	--	--	--	--	122006830	172749750	0.706	--	无	有	2.04	7.56		-53688314	39.59	-0.057	广告营销	文化传媒	5.08	5.36	+5.51%	0.47%	6.10	5.24	+33.33%	+36.17%	+32.11%	+21.52%	16.93%	802900	201316	122072	--	7.52	--	963884340	945350870	-63508279亿	-79.60%	0.15	0	360.14	--	--	--	20100421	
	SZ300600	国瑞科技	--	+12.48%	17.66	+1.96	17.65	17.66	44320362	796809540	1100↑	-0.06%	+9.96%	-2.03	15.06%	-85.81	5196180900	5196180900	100.00%	-0.06%	--	--	--	--	--	18077510	26242852	0.689	--	无	无	1.67	2.64		-37982127	4.25	-0.129	航海装备	军工装备	15.70	16.06	+2.29%	0.04%	18.79	16.06	+16.57%	+15.73%	+11.56%	+132.06%	17.39%	23300	226400	57420	--	16.59	--	294234480	294234480	-47477894亿	-60.20%	4.15	5	-233.47	--	--	--	20170125	
32	SH688472	阿特斯	--	+12.19%	17.39	+1.89	17.39	17.40	218302840	3657528100	2600↓	+0.00%	+9.37%	+4.10	15.67%	+68.47	64138099000	24219603000	37.76%	+0.00%	--	--	--	--	--	108328685	109974155	0.985	--	无	无	1.37	1.44	50.05	988933550	2.73	0.270	光伏电池组件	光伏设备	15.50	15.90	+2.58%	0.24%	17.71	15.90	+35.02%	+43.60%	+38.57%	+39.49%	11.68%	70790	35063	192041	+0.36	9.46	--	3688217300	1392731600	1006771270亿	-49.41%	6.37	1	-446.46	--	--	--	20230609	
	SZ300813	泰林生物	--	+12.09%	33.46	+3.61	33.46	33.47	8556104	285431810	1000↓	+0.12%	+11.02%	+0.33	11.25%	+44.84	4055325900	2544668900	62.75%	+0.12%	--	--	--	--	--	3750607	4805497	0.781	--	无	无	0.85	2.30	246.4	14723275	5.13	0.120	其他专用设备	专用设备	29.85	30.14	+0.97%	0.01%	34.87	30.13	+11.76%	+8.07%	-1.76%	+96.02%	15.88%	6200	13300	24238	--	14.92	--	121199219	76051073	15075608亿	30.13%	6.52	9	-236.72	--	--	--	20200114	
4	SZ300290	荣科科技	--	+12.04%	29.69	+3.19	29.69	29.70	70978817	2071923200	1000↓	-0.03%	+8.52%	+1.88	11.10%	-55.07	18993660000	18988015000	99.97%	-0.03%	--	--	--	--	--	33133282	37845535	0.876	--	无	无	-0.23	1.96		-31690062	24.47	-0.050	IT服务	IT服务	26.50	27.36	+3.25%	0.31%	31.00	27.36	+31.90%	+35.88%	+9.96%	+45.90%	13.74%	105495	300100	78160	--	-2.18	--	639732570	639542440	-23044846亿	-378.8%	1.21	3	-14.20	--	--	--	20120216	
4	SZ300390	天华新能	--	+12.00%	34.07	+3.65	34.07	34.08	95353961	3248432800	400↓	+0.00%	+8.64%	+0.01	14.18%	-55.02	28303679000	22913321000	80.96%	+0.00%	--	--	--	--	--	44799938	50554023	0.886	--	无	无	-0.46	1.74		32865591	2.59	0.040	电池化学品	电池	30.42	31.36	+3.09%	0.33%	36.00	31.36	+28.47%	+44.79%	+49.10%	+51.76%	15.25%	21803	6110	168627	+0.92	-3.73	--	830750790	672536570	26479500亿	-96.44%	13.13	0	141.26	--	--	--	20140731	
4	SZ300261	雅本化学	--	+11.98%	8.13	+0.87	8.13	8.14	107707548	861583440	10600↑	+0.00%	+7.97%	+1.80	11.51%	+16.32	7831706000	7611088600	97.18%	+0.00%	--	--	--	--	--	47752069	59955479	0.797	--	无	无	1.43	7.72		-6916422	3.90	-0.007	农药	农化制品	7.26	7.53	+3.72%	0.07%	8.66	7.49	+11.98%	+15.32%	+14.19%	+18.69%	16.12%	374000	46400	72692	--	18.20	--	963309470	936173260	-20206196亿	87.81%	2.08	5	-237.41	--	--	--	20110906	
32	SH688031	星环科技-U	--	+11.87%	72.66	+7.71	72.66	72.70	12821759	868332240	207405↑	-0.47%	+11.94%	+7.60	13.64%	+98.61	8801735700	6828045000	77.58%	-0.47%	--	--	--	--	--	6546014	6275745	1.04	--	无	无	1.72	1.27		-213226330	9.84	-1.76	横向通用软件	软件开发	64.95	64.91	-0.06%	0.09%	73.50	63.00	+18.36%	+42.89%	+21.08%	+57.51%	16.17%	351383	600	28952	+0.05	15.70	--	121135916	93972544	-213212490亿	27.21%	7.38	1	-541.96	--	--	--	20221018	
68	SZ301563	云汉芯城	--	+11.81%	228.28	+24.11	228.28	228.38	6137251	1335015340	100↓	+0.10%	+13.26%	+5.27	43.99%	+81.26	14864703000	3184896400	21.43%	+0.10%	--	--	--	--	--	2832256	3304995	0.857	--	无	无	2.12	1.05	130.1	81460386	12.39	1.67	其他电子	其他电子	204.17	201.56	-1.28%	0.35%	234.01	201.56	-4.88%	+38.93%	--	+745.48%	15.89%	20319	100	33539	--	6.31	--	65116099	13951710	94627136亿	46.74%	18.43	1	-1154.19	--	--	--	20250930	
	SZ300609	汇纳科技	--	+11.80%	45.59	+4.81	45.59	45.60	20331142	919568850	103800↑	+0.07%	+3.59%	+0.88	16.95%	+12.62	5476014900	5467686500	99.85%	+0.07%	--	--	--	--	--	9726192	10604950	0.917	--	无	无	-0.14	2.92		-35805193	5.49	-0.298	IT服务	IT服务	40.78	44.01	+7.92%	0.18%	47.08	42.68	+11.99%	+24.70%	+17.32%	+85.02%	10.79%	200	32500	53376	--	-1.04	--	120114387	119931707	-42338790亿	7.67%	8.30	1	362.07	--	--	--	20170215	
