.	代码	    名称	.	涨幅	现价	涨跌	买价	卖价	总手	总金额	现手	1分钟涨速	实体涨幅	现均差%	换手	委比%	总市值	流通市值	流通比例	4分钟涨速	当日偏离值	异动偏离值	10日内偏离值	30日内偏离值	10日异动次数	内盘	外盘	内外比	备注	利空	利好	主力净量	量比	TTM市盈率	净利润	市净率	每股盈利	细分行业	所属行业	昨收	开盘	开盘涨幅	竞价换手	最高	最低	5日涨幅	10日涨幅	20日涨幅	年初至今	振幅	买量	卖量	笔数	贡献度	机构动向	异动类型	总股本	流通股本	利润总额	净利润增长率	每股净资产	金叉个数	散户数量	自选时间	自选价格	自选收益	上市日期	
	SH603822	嘉澳环保	--	+3.18%	96.10	+2.96	96.09	96.10	3132900	297719190	11800--	+0.03%	+3.11%	+1.15	4.08%	+59.68	7382967600	7382967600	100.00%	+0.03%	--	--	--	--	--	1592550	1540350	1.03	--	无	无	0.34	1.27		-25365865	16.53	-0.330	其他化学制品	化学制品	93.14	93.20	+0.06%	--	98.49	91.37	+8.61%	+4.59%	+27.23%	+97.09%	7.64%	3700	900	12692	+0.01	14.57	--	76825886	76825886	43840439亿	81.87%	5.82	4	-102.82	--	--	--	20160428	
	SZ002652	扬子新材	--	+3.17%	3.90	+0.12	3.90	3.91	21128400	82129972	108700--	-0.26%	+3.17%	+0.34	4.13%	-36.21	1997049600	1997049600	100.00%	-0.26%	--	--	--	--	--	9075150	12053250	0.753	--	无	无	0.35	1.75		-15606794	7.96	-0.031	其他建材	建筑材料	3.78	3.78	+0.00%	--	3.93	3.76	+1.83%	+4.00%	+10.17%	+38.30%	4.50%	13500	398100	13402	--	23.12	--	512064000	512064000	-17566449亿	-228.9%	0.49	7	0.00	--	--	--	20120119	
4	SZ300353	东土科技	--	+3.17%	25.04	+0.77	25.03	25.04	59883070	1551560500	1000--	-0.04%	-0.63%	-3.58	11.15%	+8.56	15396918000	13452966000	87.37%	-0.04%	--	--	--	--	--	30147749	29735321	1.01	--	无	有	-1.79	2.22	379.1	-148292850	7.75	-0.240	其他通信设备	通信设备	24.27	25.20	+3.83%	--	27.30	25.02	-0.44%	-4.43%	-3.99%	+118.12%	9.39%	75600	25900	59602	--	-16.61	--	614892880	537259020	-156397740亿	1.32%	3.23	4	605.91	--	--	--	20120927	
	SZ300165	ST天瑞	--	+3.17%	4.88	+0.15	4.87	4.88	11343000	54939555	95600--	+0.21%	+2.95%	+0.77	2.70%	+21.98	2418097200	2052209200	84.87%	+0.21%	--	--	--	--	--	5578554	5764446	0.968	--	无	无	0.04	1.47		-1217876	1.89	-0.003	仪器仪表	通用设备	4.73	4.74	+0.21%	--	4.92	4.74	+7.02%	+9.91%	+7.96%	+62.13%	3.81%	307500	7300	2451	--	2.33	--	495511730	420534680	3572189亿	82.20%	2.58	0	-11.00	--	--	--	20110125	
4	SH600569	安阳钢铁	--	+3.16%	2.61	+0.08	2.61	2.62	153765330	395802160	1996000--	-0.38%	+3.57%	+1.42	5.35%	+17.12	7497019800	7497019800	100.00%	-0.38%	--	--	--	--	--	77982939	75782391	1.03	--	无	无	0.56	1.12		58334185	2.75	0.020	普钢	钢铁	2.53	2.52	-0.40%	--	2.68	2.48	+6.97%	+12.02%	+23.11%	+40.32%	7.91%	3188500	508361	50937	+0.01	15.01	--	2872421400	2872421400	116788197亿	102.7%	0.95	1	-65.16	--	--	--	20010820	
	SH600792	云煤能源	--	+3.16%	4.57	+0.14	4.57	4.58	59719000	274928250	727500--	-0.22%	+3.16%	-0.76	5.38%	-54.57	5072350900	5072350900	100.00%	-0.22%	--	--	--	--	--	29777379	29941621	0.995	--	无	无	0.36	0.74		-181786650	1.78	-0.160	焦炭加工	煤炭开采加工	4.43	4.43	+0.00%	--	4.72	4.43	-1.72%	-1.72%	+22.52%	+22.19%	6.55%	53200	98500	40775	+0.01	20.12	--	1109923600	1109923600	-183870660亿	41.54%	2.56	0	-26.39	--	--	--	19970123	
	SZ300467	迅游科技	--	+3.16%	26.46	+0.81	26.45	26.46	7863900	206436320	500--	-0.04%	+2.92%	+0.81	4.67%	-55.78	5376801600	4460025500	82.95%	-0.04%	--	--	--	--	--	3516300	4347600	0.809	--	无	无	0.30	1.33	333.2	17665269	8.42	0.090	游戏	游戏	25.65	25.71	+0.23%	--	26.58	25.65	+9.07%	+12.98%	-2.00%	+68.21%	3.63%	18100	14700	12976	--	11.11	--	203204900	168557270	19592072亿	-19.93%	3.14	0	-71.91	--	--	--	20150527	
4	SZ002807	江阴银行	--	+3.16%	4.90	+0.15	4.89	4.90	85705032	415585690	345700--	+0.20%	+2.94%	+1.07	3.49%	+19.89	12060824700	12044280400	99.86%	+0.20%	--	--	--	--	--	37507522	48197510	0.778	--	无	无	-0.04	1.46	5.51	1278357000	0.630	0.519	农商行	银行	4.75	4.76	+0.21%	--	4.96	4.75	-2.00%	-0.61%	+8.65%	+18.07%	4.42%	137300	619900	45175	--	-1.60	--	2461392800	2458016400	1449821000亿	13.38%	7.78	3	-6.17	--	--	--	20160902	
4	SZ002419	天虹股份	--	+3.15%	5.57	+0.17	5.57	5.58	34709650	192371240	181700--	-0.18%	+2.20%	+0.51	2.97%	+1.91	6510482000	6509728100	99.99%	-0.18%	--	--	--	--	--	16891049	17818601	0.948	--	无	无	0.48	1.42	311.3	62539703	1.59	0.054	百货零售	零售	5.40	5.45	+0.93%	--	5.64	5.42	+1.83%	+2.20%	+1.83%	-3.97%	4.07%	434800	133200	25394	--	40.35	--	1168847750	1168712410	113573514亿	-47.15%	3.50	9	-49.12	--	--	--	20100601	
	SH600193	*ST创兴	--	+3.15%	4.26	+0.13	4.25	4.26	12834410	54021378	160800--	+0.24%	+2.65%	+1.23	3.02%	-52.88	1812089000	1812089000	100.00%	+0.24%	--	--	--	--	--	5233949	7600461	0.689	--	无	无	0.13	1.73		-14485028	20.33	-0.034	装饰园林	建筑装饰	4.13	4.15	+0.48%	--	4.30	4.12	+2.40%	+0.47%	+1.91%	+25.66%	4.36%	72900	106901	2500	--	8.68	--	425373000	425373000	-15007058亿	26.27%	0.21	8	24.14	--	--	--	19990527	
4	SZ300058	蓝色光标	--	+3.13%	7.58	+0.23	7.58	7.59	713646680	5446080900	1000--	+0.26%	+0.93%	-0.70	20.51%	-25.49	27213877000	26378626000	96.93%	+0.27%	--	--	--	--	--	327508180	386138500	0.848	--	无	有	-2.37	2.32		195681550	3.43	0.055	广告营销	文化传媒	7.35	7.51	+2.18%	--	7.96	7.45	+21.47%	+23.45%	+15.20%	+14.35%	6.94%	746301	1051774	293853	+0.25	-11.78	--	3590221200	3480029800	236140230亿	58.90%	2.21	0	338.46	--	--	--	20100226	
4	SZ002547	春兴精工	--	+3.13%	5.28	+0.16	5.27	5.28	60407372	312460950	3261800--	+0.00%	+3.53%	+2.10	5.47%	-32.69	5956141800	5833381800	97.94%	+0.00%	--	--	--	--	--	24222879	36184493	0.669	--	无	无	0.40	0.69		-200037680		-0.041	其他汽车零部件	汽车零部件	5.12	5.10	-0.39%	--	5.29	5.07	+1.73%	+4.35%	+0.76%	+29.10%	4.30%	319300	763000	41720	--	16.11	--	1128057170	1104807170	-241794420亿	-13.18%	-0.14	7	-22.28	--	--	--	20110218	
4	SH600583	海油工程	--	+3.13%	5.61	+0.17	5.61	5.62	93423711	520097590	382100--	+0.00%	+2.94%	+0.79	2.11%	-81.25	24803800000	24803800000	100.00%	+0.00%	--	--	--	--	--	32432644	60991067	0.532	--	无	无	0.15	1.68	12.27	1604905200	0.919	0.360	油服工程	油气开采及服务	5.44	5.45	+0.18%	--	5.64	5.45	+0.18%	+3.70%	+6.05%	+6.47%	3.49%	201500	2759300	41871	+0.04	10.79	--	4421354800	4421354800	1903681600亿	-8.01%	6.10	6	-14.63	--	--	--	20020205	
	SH605060	联德股份	--	+3.12%	32.36	+0.98	32.31	32.36	7529735	235555490	108900--	-0.49%	+1.70%	+3.43	3.15%	-77.38	7785557100	7732111300	99.31%	-0.49%	--	--	--	--	--	4229750	3299985	1.28	--	无	无	0.18	1.43	35.55	177808510	3.22	0.740	其他通用设备	通用设备	31.38	31.82	+1.40%	--	32.88	30.24	+11.47%	+27.30%	+12.32%	+89.02%	8.41%	1200	33600	29001	+0.01	23.92	--	240592000	238940400	200877020亿	21.56%	10.05	0	-5.43	--	--	--	20210301	
4	SZ300045	华力创通	--	+3.12%	24.13	+0.73	24.13	24.14	48009171	1148153050	100--	+0.00%	+3.12%	+0.92	9.30%	-39.45	15990353000	12458636900	77.91%	+0.00%	--	--	--	--	--	22439653	25569518	0.878	--	无	无	0.57	1.19		9388113	9.96	0.014	军工电子	军工电子	23.40	23.40	+0.00%	--	24.17	23.30	+2.46%	+10.99%	+12.28%	+15.51%	3.72%	267700	128000	56371	--	7.82	--	662675240	516313180	12065244亿	132.6%	2.42	2	-41.24	--	--	--	20100120	
4	SZ002522	浙江众成	--	+3.12%	5.29	+0.16	5.29	5.30	145619240	782688040	1492200--	+0.00%	-3.11%	-1.65	16.09%	-13.42	4791573000	4787555200	99.92%	+0.00%	--	--	--	--	--	64317582	81301658	0.791	--	无	无	-0.44	6.96	62.01	47692067	2.08	0.050	膜材料	塑料制品	5.13	5.46	+6.43%	--	5.63	5.23	+9.30%	+12.79%	+11.13%	+36.16%	7.80%	25000	450700	88004	--	-5.66	--	905779390	905019880	24169154亿	6.96%	2.55	2	-34.74	--	--	--	20101210	
4	SH600336	澳柯玛	--	+3.11%	7.30	+0.22	7.29	7.30	24129389	174490040	278100--	-0.14%	+3.11%	+0.97	3.02%	-73.23	5825507800	5825507800	100.00%	-0.14%	--	--	--	--	--	9938700	14190689	0.700	--	无	无	0.24	0.97		-9059056	2.40	-0.011	冰洗	白色家电	7.08	7.08	+0.00%	--	7.34	7.08	-1.08%	+4.29%	+7.35%	+7.99%	3.67%	15700	2200	23199	+0.01	17.88	--	798014770	798014770	-14406501亿	-420.5%	3.04	4	-11.73	--	--	--	20001229	
4	SZ000639	西王食品	--	+3.11%	3.32	+0.10	3.31	3.32	31433164	103418210	287700--	+0.00%	+2.15%	+0.93	2.91%	-59.89	3583701300	3583696900	100.00%	+0.00%	--	--	--	--	--	13049000	18384164	0.710	--	无	无	0.07	1.26		2221914	1.23	0.002	其他食品	食品加工制造	3.22	3.25	+0.93%	--	3.33	3.24	+0.91%	+8.14%	+7.79%	-7.78%	2.80%	9100	1046100	18016	--	3.78	--	1079428100	1079426770	-2248264亿	-96.45%	2.69	5	17.78	--	--	--	19961126	
32	SH688335	复洁环保	--	+3.10%	21.60	+0.65	21.60	21.61	8811398	188134340	134071--	-0.09%	+2.86%	+1.19	5.95%	+45.74	3197547200	3197547200	100.00%	-0.09%	--	--	--	--	--	4256324	4555074	0.934	--	无	无	0.93	1.90		2425401	2.79	0.020	环保设备	环保设备	20.95	21.00	+0.24%	--	21.96	20.70	+0.28%	-2.48%	-22.30%	+162.45%	6.01%	10131	500	17724	+0.01	32.06	--	148034590	148034590	1753469亿	115.9%	7.73	4	-255.23	--	--	--	20200817	
4	SZ002474	榕基软件	--	+3.10%	8.65	+0.26	8.64	8.65	118252920	1008158970	2716900--	+0.00%	+2.98%	+1.48	22.28%	-22.73	5382030000	4591125400	85.30%	+0.00%	--	--	--	--	--	60033118	58219802	1.03	--	无	无	-0.87	1.13		-32551868	3.94	-0.052	IT服务	IT服务	8.39	8.40	+0.12%	--	8.68	8.34	+11.18%	+15.03%	+31.26%	+44.41%	4.05%	272300	248600	78777	--	-8.62	--	622200000	530765950	-38013215亿	-64.79%	2.20	4	124.44	--	--	--	20100915	
	SH600857	宁波中百	--	+3.09%	17.00	+0.51	16.99	17.00	10644405	178367060	95000--	+0.18%	+3.16%	+1.47	4.75%	-42.86	3813438600	3813438600	100.00%	+0.18%	--	--	--	--	--	5164300	5480105	0.942	--	无	无	-0.02	0.87	100.4	46011611	4.28	0.205	百货零售	零售	16.49	16.48	-0.06%	--	17.12	16.22	+15.10%	-0.76%	+1.74%	+82.80%	5.46%	100	2249	19927	+0.01	-1.13	--	224319920	224319920	58982695亿	674.2%	3.97	0	14.29	--	--	--	19940425	
4	SZ002565	顺灏股份	--	+3.09%	7.01	+0.21	7.00	7.01	34529731	240701860	367300--	+0.00%	+2.94%	+0.58	3.26%	-17.11	7430522300	7430206900	100.00%	+0.00%	--	--	--	--	--	13391878	21137853	0.634	--	无	无	0.37	0.95	131.1	67318999	3.98	0.064	包装	包装印刷	6.80	6.81	+0.15%	--	7.19	6.80	+2.64%	+1.30%	-1.82%	+133.67%	5.74%	162200	19100	32009	--	23.37	--	1059988920	1059943920	92688764亿	20.29%	1.76	6	-30.53	--	--	--	20110318	
4	SH601012	隆基绿能	--	+3.08%	21.76	+0.65	21.76	21.77	289819160	6249206900	6015470--	+0.28%	+1.82%	+0.94	3.82%	-10.46	164898590000	164898420000	100.00%	+0.28%	--	--	--	--	--	137730550	152088610	0.906	--	无	有	0.16	0.98		-3403469400	2.90	-0.450	光伏电池组件	光伏设备	21.11	21.37	+1.23%	--	21.88	21.20	+14.17%	+14.17%	+24.34%	+38.51%	3.22%	112129	180700	343744	+0.26	5.30	--	7578060100	7578052600	-4185312100亿	47.52%	7.51	2	-29.15	--	--	--	20120411	
4	SZ301169	零点有数	--	+3.08%	46.55	+1.39	46.53	46.55	1770400	81244199	13300--	+0.00%	+3.24%	+1.46	2.46%	-65.29	3353487000	3352439600	99.97%	+0.00%	--	--	--	--	--	813950	956450	0.851	--	无	无	0.05	1.20		-54031251	7.66	-0.750	专业服务	其他社会服务	45.16	45.09	-0.16%	--	46.60	44.54	+5.60%	+14.60%	+6.69%	+16.26%	4.56%	500	27100	7218	--	6.36	--	72040536	72018036	-59697374亿	19.54%	6.08	2	-6.81	--	--	--	20211103	
	SZ002864	盘龙药业	--	+3.06%	31.30	+0.93	31.30	31.31	4031393	125138309	39675--	+0.00%	+2.19%	+0.85	5.43%	-34.75	3326594000	2322169800	69.81%	+0.00%	--	--	--	--	--	1824287	2207106	0.827	--	无	无	0.03	1.40	27.61	89805874	1.98	0.850	中药	中药	30.37	30.63	+0.86%	--	31.39	30.46	+0.84%	+1.76%	+6.83%	+4.30%	3.06%	6525	9700	11654	--	2.38	--	106280960	74190728	106709241亿	0.261%	15.84	5	23.31	--	--	--	20171116	
4	SH600855	航天长峰	--	+3.06%	15.83	+0.47	15.83	15.84	25827528	403206940	293400--	+0.06%	+4.28%	+1.42	5.52%	+3.50	7417031400	7402736900	99.81%	+0.06%	--	--	--	--	--	12081479	13746049	0.879	--	无	无	0.22	0.76		-77310268	4.84	-0.165	军工电子	军工电子	15.36	15.18	-1.17%	--	16.15	15.05	+3.60%	+14.05%	+13.88%	+22.90%	7.16%	9200	39400	28907	+0.01	9.67	--	468542730	467639730	-80463319亿	22.26%	3.27	2	-28.66	--	--	--	19940425	
4	SZ301137	哈焊华通	--	+3.06%	51.21	+1.52	51.21	51.22	20172992	1055787750	100--	+0.00%	-1.52%	-2.27	11.20%	-37.89	9310664200	9225450800	99.08%	+0.00%	--	--	--	--	--	10996565	9176427	1.20	--	无	无	0.48	0.92	187.6	26092219	6.79	0.144	金属制品	通用设备	49.69	52.00	+4.65%	--	54.10	50.56	-4.42%	+15.08%	+37.55%	+194.65%	7.12%	8300	35200	58403	--	7.28	--	181813400	180149400	33533097亿	53.90%	7.54	1	-115.04	--	--	--	20220322	
4	SZ002361	神剑股份	--	+3.06%	6.74	+0.20	6.74	6.75	36874218	247970900	333700--	+0.00%	-0.15%	+0.23	4.56%	-51.46	6409975700	5453488900	85.08%	+0.00%	--	--	--	--	--	16603463	20270755	0.819	--	无	无	0.28	1.75	184.4	30320012	2.90	0.032	合成树脂	塑料制品	6.54	6.75	+3.21%	--	6.80	6.63	+3.22%	+5.81%	+9.24%	+24.81%	2.60%	127900	655000	22852	--	13.21	--	951034970	809122980	27228028亿	3.81%	2.33	6	-53.85	--	--	--	20100303	
4	SZ300856	科思股份	--	+3.05%	14.17	+0.42	14.16	14.17	10339243	145039240	100--	+0.00%	+3.43%	+1.03	2.26%	-48.64	6740486600	6469367200	95.98%	+0.00%	--	--	--	--	--	4608264	5730979	0.804	--	无	无	0.05	2.77	53.40	77934672	2.52	0.164	化妆品	美容护理	13.75	13.70	-0.36%	--	14.18	13.59	+5.75%	+2.90%	+6.94%	-21.65%	4.29%	36100	133100	11219	--	3.45	--	475687130	456553790	91193864亿	-84.84%	5.62	3	8.07	--	--	--	20200722	
	SZ300561	*ST汇科	--	+3.05%	16.57	+0.49	16.57	16.58	11027761	180928270	191200--	+0.00%	+3.05%	+1.02	4.57%	-23.23	5436749100	3994324000	73.47%	+0.00%	--	--	--	--	--	4843563	6184198	0.783	--	无	无	0.56	1.08		1519067	9.06	0.005	垂直应用软件	软件开发	16.08	16.08	+0.00%	--	16.69	15.96	+1.10%	+7.18%	+9.88%	-69.83%	4.54%	35300	57600	7990	--	18.19	--	328107980	241057570	1197652亿	137.3%	1.83	5	-309.18	--	--	--	20161117	
	SZ002820	桂发祥	--	+3.05%	13.19	+0.39	13.18	13.19	15307800	200954070	324300--	+0.15%	+3.05%	+0.49	7.62%	-30.45	2649452800	2649452800	100.00%	+0.15%	--	--	--	--	--	6347400	8960400	0.708	--	无	无	0.12	1.27		1019595	2.97	0.010	休闲食品	食品加工制造	12.80	12.80	+0.00%	--	13.25	12.80	+3.05%	+3.78%	+8.74%	+7.50%	3.52%	20600	142900	23647	--	4.76	--	200868300	200868300	2051265亿	-97.14%	4.44	5	-19.34	--	--	--	20161118	
	SZ002762	*ST金比	--	+3.04%	8.14	+0.24	8.13	8.14	5605433	45335099	42500--	-0.12%	+2.91%	+0.66	2.65%	-60.51	2881763500	1720620500	59.71%	-0.12%	--	--	--	--	--	2601227	3004206	0.866	--	无	无	0.12	1.28		-78969147	3.73	-0.220	服装	服装家纺	7.90	7.91	+0.13%	--	8.16	7.88	+2.52%	-2.75%	-13.86%	+41.57%	3.54%	6200	16100	1780	--	8.23	--	354025000	211378430	-84480755亿	-693.5%	2.18	2	-59.59	--	--	--	20150610	
	SZ003002	壶化股份	--	+3.03%	27.88	+0.82	27.88	27.89	10914934	298690170	184500--	+0.00%	+3.22%	+1.90	5.97%	+3.06	5576000000	5098541100	91.44%	+0.00%	--	--	--	--	--	4318032	6596902	0.655	--	无	有	-0.04	1.09	30.64	145548700	3.72	0.730	民爆用品	化学制品	27.06	27.01	-0.18%	--	27.88	26.50	+8.78%	+11.43%	+20.90%	+24.41%	5.10%	46700	14700	15552	--	-1.36	--	200000000	182874500	173177270亿	40.53%	7.50	0	0.00	--	--	--	20200922	
4	SH600323	瀚蓝环境	--	+3.02%	29.00	+0.85	28.97	29.00	7896854	228181590	26800--	+0.00%	+2.29%	+0.37	0.97%	-28.50	23645067000	23645067000	100.00%	+0.00%	--	--	--	--	--	3661050	4235804	0.864	--	无	无	0.01	1.51	12.55	1604884000	1.66	1.97	固废治理	环境治理	28.15	28.35	+0.71%	--	29.19	28.01	-1.13%	+3.20%	+7.17%	+28.49%	4.19%	1200	13000	21161	+0.04	6.30	--	815347150	815347150	2259139800亿	15.85%	17.43	4	-0.46	--	--	--	20001225	
	SZ002890	弘宇股份	--	+3.01%	16.07	+0.47	16.05	16.07	3545080	57064899	51600--	-0.19%	+2.55%	-0.17	2.20%	-43.62	2729893800	2595051300	95.06%	-0.19%	--	--	--	--	--	1984949	1560131	1.27	--	无	无	0.23	1.84	182.1	11898849	4.54	0.070	农用机械	专用设备	15.60	15.67	+0.45%	--	16.50	15.61	+6.21%	+7.85%	+13.81%	+63.41%	5.71%	800	580	5271	--	36.90	--	169875160	161484210	12230859亿	-13.65%	3.54	1	-37.48	--	--	--	20170802	
4	SZ300182	捷成股份	--	+3.01%	6.85	+0.20	6.84	6.85	267666320	1787177600	400--	-0.44%	+3.16%	+2.60	11.85%	-61.53	18247206000	15473479000	84.80%	-0.44%	--	--	--	--	--	119337880	148328440	0.805	--	无	无	0.12	1.76	205.9	212325750	2.17	0.080	影视院线	影视院线	6.65	6.64	-0.15%	--	6.91	6.49	+9.78%	+15.51%	+18.72%	+16.79%	6.32%	22700	543500	109533	+0.16	1.06	--	2663825600	2258902100	210978900亿	-41.35%	3.16	1	-5.41	--	--	--	20110222	
4	SH600966	博汇纸业	--	+3.01%	5.14	+0.15	5.14	5.15	28226203	144580580	245000--	-0.19%	+2.19%	+0.36	2.11%	-58.66	6871379600	6871379600	100.00%	-0.19%	--	--	--	--	--	11106650	17119553	0.649	--	无	无	-0.06	2.40	46.39	121466812	0.931	0.098	造纸	造纸	4.99	5.03	+0.80%	--	5.18	5.01	+3.63%	+3.63%	+4.26%	+0.16%	3.41%	102726	191700	24208	+0.01	-14.67	--	1336844290	1336844290	127837280亿	-18.57%	5.52	5	2.62	--	--	--	20040608	
4	SZ300997	欢乐家	--	+3.00%	17.50	+0.51	17.49	17.50	6282793	109175267	151200--	+0.00%	+2.94%	+0.72	1.63%	-45.10	7655785800	6755127000	88.24%	+0.00%	--	--	--	--	--	2906601	3376192	0.861	--	无	无	0.05	1.61	103.3	10526804	7.54	0.025	软饮料	饮料制造	16.99	17.00	+0.06%	--	17.65	16.93	+2.82%	+5.17%	-4.06%	+15.44%	4.24%	18200	73568	11235	--	11.74	--	437473480	386007260	23639084亿	-87.43%	2.32	6	-28.97	--	--	--	20210602	
4	SH600812	华北制药	--	+3.00%	6.18	+0.18	6.18	6.19	44790414	273761580	339000--	+0.00%	+3.00%	+1.13	2.61%	-65.34	10603213700	10603213700	100.00%	+0.00%	--	--	--	--	--	16346861	28443553	0.575	--	无	无	0.46	2.88	57.93	158504020	1.93	0.092	化学制剂	化学制药	6.00	6.00	+0.00%	--	6.20	5.96	+2.15%	+4.57%	+6.55%	+20.23%	4.00%	219000	1061100	25243	+0.02	30.86	--	1715730400	1715730400	287215560亿	54.69%	3.21	7	-51.71	--	--	--	19940114	
4	SZ301099	雅创电子	--	+2.99%	48.62	+1.41	48.62	48.63	12516865	595075180	200--	+0.00%	+4.00%	+2.28	13.94%	+49.94	7130890100	4365121900	61.21%	+0.00%	--	--	--	--	--	6341969	6174896	1.03	--	无	无	0.15	0.90	68.43	82766256	5.50	0.590	其他电子	其他电子	47.21	46.75	-0.97%	--	49.47	45.60	-7.36%	-1.14%	+22.62%	+53.60%	8.20%	39100	16000	31963	--	1.84	--	146665780	89780377	139466100亿	-19.29%	8.84	3	13.09	--	--	--	20211122	
4	SZ301155	海力风电	--	+2.98%	88.00	+2.55	87.93	88.00	3636101	316908520	200--	+0.00%	+3.49%	+0.99	2.95%	-75.07	19130450000	10854729200	56.74%	+0.00%	--	--	--	--	--	1606904	2029197	0.792	--	无	无	-0.11	0.62	58.69	346650350	3.33	1.59	风电零部件	风电设备	85.45	85.03	-0.49%	--	88.84	84.00	+1.68%	+1.43%	-5.25%	+65.35%	5.66%	100	22100	15943	+0.17	-9.63	--	217391480	123349196	419362570亿	299.4%	26.46	2	22.19	--	--	--	20211124	
4	SH600295	鄂尔多斯	--	+2.98%	11.39	+0.33	11.38	11.39	27677002	313282100	495936--	-0.44%	+2.06%	+0.64	1.40%	-38.12	31878062000	22501814000	70.59%	-0.44%	--	--	--	--	--	10720288	16956714	0.632	--	无	无	-0.00	1.87	17.40	1706464200	1.52	0.610	冶钢原料	钢铁	11.06	11.16	+0.90%	--	11.47	11.08	+10.37%	+8.37%	+12.11%	+24.35%	3.53%	37900	113864	43971	+0.05	-0.54	--	2798776300	1975576300	2482133500亿	-0.850%	7.51	2	-5.10	--	--	--	20010426	
32	SH688348	昱能科技	--	+2.98%	55.93	+1.62	55.93	55.94	3640420	197701730	64308--	+0.09%	+3.00%	+2.99	2.33%	-57.21	8740596900	8740596900	100.00%	+0.09%	--	--	--	--	--	1770777	1869643	0.947	--	无	无	-0.02	1.15	153.2	66480092	2.41	0.430	逆变器	光伏设备	54.31	54.30	-0.02%	--	55.93	52.52	+4.31%	+4.66%	+0.77%	+15.56%	6.28%	1427	15575	10719	+0.01	-2.20	--	156277440	156277440	71527572亿	-55.52%	23.18	4	0.00	--	--	--	20220608	
32	SH688500	慧辰股份	--	+2.98%	76.71	+2.22	76.71	76.73	2888623	219477990	33305--	+0.01%	+1.99%	+0.98	3.94%	+65.95	5776010600	5624063500	97.37%	+0.01%	--	--	--	--	--	1563731	1324892	1.18	--	无	无	0.30	1.20		-43160088	8.11	-0.590	IT服务	IT服务	74.49	75.21	+0.97%	--	77.95	73.51	+8.61%	+6.04%	+0.93%	+123.64%	5.96%	270	500	7506	+0.01	11.93	--	75296710	73315910	-42126797亿	29.49%	9.46	5	-293.95	--	--	--	20200716	
4	SZ301626	苏州天脉	--	+2.97%	138.50	+4.00	138.41	138.50	3013687	405928650	21200--	+0.00%	+2.94%	+2.83	5.73%	-55.14	16021680000	7287731200	45.49%	+0.00%	--	--	--	--	--	1602003	1411684	1.13	--	无	无	0.59	0.86	85.41	142565380	10.17	1.23	消费电子零部件及组装	消费电子	134.50	134.55	+0.04%	--	139.49	129.34	-2.43%	+14.46%	+9.06%	+48.96%	7.55%	100	6900	13533	--	13.39	--	115680000	52618998	157827240亿	1.54%	13.62	1	-516.32	--	--	--	20241024	
32	SH688303	大全能源	--	+2.97%	30.84	+0.89	30.84	30.85	23159422	710084910	200--	+0.00%	+0.39%	+0.60	1.08%	+25.91	66158145000	66158145000	100.00%	+0.00%	--	--	--	--	--	11454529	11704893	0.979	--	无	有	0.01	0.89		-1073194610	1.69	-0.500	硅料硅片	光伏设备	29.95	30.72	+2.57%	--	31.27	30.07	+11.74%	+11.90%	+6.42%	+27.75%	4.01%	89735	13769	32149	+0.10	1.46	--	2145205700	2145205700	-1199416260亿	2.36%	18.22	1	-4.03	--	--	--	20210722	
	SH603230	内蒙新华	--	+2.97%	12.49	+0.36	12.48	12.49	5765000	71104527	71000--	+0.00%	+2.71%	+1.29	1.63%	-31.86	4415502300	4415502300	100.00%	+0.00%	--	--	--	--	--	2082550	3682450	0.566	--	无	无	0.12	1.52	18.09	201492090	1.58	0.570	出版	文化传媒	12.13	12.16	+0.25%	--	12.50	12.16	+0.16%	+2.13%	+2.29%	+2.55%	2.80%	22500	13400	8822	+0.01	34.67	--	353523000	353523000	202324130亿	-31.80%	7.91	7	-22.18	--	--	--	20211224	
32	SH688051	佳华科技	--	+2.97%	55.89	+1.61	55.89	56.00	1518372	82376520	73937--	-0.92%	+1.71%	+3.02	1.96%	-80.16	4322197300	4322197300	100.00%	-0.92%	--	--	--	--	--	744006	774366	0.961	--	无	无	0.16	0.60		-67237857	6.62	-0.870	IT服务	IT服务	54.28	54.95	+1.23%	--	56.50	52.75	+5.85%	+32.25%	+29.35%	+168.44%	6.91%	765	1200	4094	+0.01	14.94	--	77334000	77334000	-70696650亿	-114.4%	8.44	1	-62.35	--	--	--	20200320	
	SZ300021	大禹节水	--	+2.95%	4.88	+0.14	4.88	4.89	44267026	215105000	317300--	-0.20%	+1.88%	+0.44	5.07%	-22.83	4989153200	4258967300	85.36%	-0.20%	--	--	--	--	--	17494914	26772112	0.654	--	无	无	0.64	1.80	80.04	11076845	1.98	0.013	农业综合	种植业与林业	4.74	4.79	+1.05%	--	4.92	4.78	-0.20%	+0.83%	+0.41%	+21.70%	2.95%	563500	167541	24614	--	21.78	--	1022367470	872739210	-227981亿	-62.92%	2.47	10	-63.88	--	--	--	20091030	
